Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
Jessica Taylor,2021,Dallas,Stanford University,Economics,B.Tech,Software Engineering,Philosophy,Business Analyst,Tesla,Education,28,"TensorFlow, Kubernetes, HTML","Data Science, Quantum Computing"
Jessica Lewis,2008,Houston,California Institute of Technology,Biology,BBA,Robotics,Philosophy,Consultant,Facebook,Education,13,"JavaScript, Keras, Kubernetes","Business Strategy, Quantum Computing"
Michael Lewis,2002,Los Angeles,MIT,Economics,M.Sc,Software Engineering,Sociology,DevOps Engineer,Apple,Retail,15,"Java, HTML, C++","Blockchain, Cybersecurity"
John Anderson,2013,San Diego,"University of California, Berkeley",Physics,PhD,Machine Learning,Environmental Science,Marketing Manager,Intel,Consulting,7,"Keras, JavaScript, Docker","Quantum Computing, Cybersecurity"
Linda Scott,2016,San Antonio,University of Chicago,Computer Science,B.Sc,Software Engineering,Statistics,Research Scientist,Google,Government,4,"HTML, Kubernetes, React","IoT, Blockchain"
Linda Brown,2002,San Antonio,Stanford University,Civil Engineering,B.Tech,Cybersecurity,History,Product Manager,Tesla,Government,6,"Django, Kubernetes, Java","Business Strategy, ML"
Sarah Clark,2001,Phoenix,MIT,Mathematics,B.Sc,Quantum Computing,Psychology,Product Manager,Intel,Automotive,3,"AWS, C++, Kubernetes","Cybersecurity, Data Science"
Linda Scott,2015,San Diego,Stanford University,Economics,BBA,Financial Engineering,Art History,DevOps Engineer,Amazon,Government,23,"CSS, Django, Keras","Business Strategy, ML"
Alice Johnson,2024,Philadelphia,Harvard University,Computer Science,B.Tech,Machine Learning,Philosophy,Data Scientist,Facebook,Healthcare,8,"SQL, AWS, HTML","Blockchain, Quantum Computing"
Sarah Lewis,2024,Houston,University of Chicago,Mathematics,MBA,Financial Engineering,Art History,Data Scientist,Amazon,Healthcare,10,"AWS, SQL, C++","ML, Blockchain"
Jessica Brown,2015,Los Angeles,Harvard University,Physics,PhD,Renewable Energy,Environmental Science,Data Scientist,Intel,Government,26,"Docker, Java, SQL","ML, Business Strategy"
John Lee,2013,San Antonio,Princeton University,Electrical Engineering,B.Tech,Cybersecurity,Philosophy,Operations Manager,Microsoft,Education,5,"TensorFlow, SQL, CSS","Business Strategy, Renewable Energy"
Jessica Brown,2007,Phoenix,University of Pennsylvania,Mechanical Engineering,B.Sc,Software Engineering,Philosophy,Consultant,Netflix,Education,22,"React, HTML, TensorFlow","IoT, Data Science"
Alice Taylor,2022,Los Angeles,University of Pennsylvania,Mechanical Engineering,MBA,Business Analytics,History,Operations Manager,Adobe,Technology,30,"Docker, Java, HTML","Business Strategy, Blockchain"
Emily Scott,2010,Houston,"University of California, Berkeley",Chemistry,BBA,Artificial Intelligence,History,Data Scientist,Apple,Healthcare,26,"AWS, Python, Docker","Data Science, Renewable Energy"
Bob Clark,2007,Philadelphia,MIT,Economics,M.Tech,Financial Engineering,Art History,Marketing Manager,Microsoft,Technology,25,"React, C++, Django","Renewable Energy, Robotics"
Bob Johnson,2013,Houston,Princeton University,Business Administration,MBA,Cybersecurity,Statistics,DevOps Engineer,Microsoft,Government,9,"Kubernetes, JavaScript, TensorFlow","Data Science, Business Strategy"
Linda Lewis,2010,Chicago,"University of California, Berkeley",Electrical Engineering,M.Sc,Business Analytics,Psychology,Operations Manager,Apple,Technology,17,"Kubernetes, Git, Python","IoT, Cybersecurity"
Bob Taylor,2018,San Diego,California Institute of Technology,Economics,B.Tech,Renewable Energy,History,Product Manager,Intel,Healthcare,10,"Kubernetes, JavaScript, Keras","Renewable Energy, IoT"
Robert Clark,2001,Chicago,Princeton University,Economics,B.Tech,Financial Engineering,History,Business Analyst,Adobe,Consulting,22,"JavaScript, Docker, HTML","Robotics, IoT"
Robert Johnson,2016,New York,Stanford University,Computer Science,B.Sc,Artificial Intelligence,Art History,Product Manager,Google,Consulting,28,"Keras, HTML, Django","Business Strategy, Quantum Computing"
Emily Smith,2012,New York,University of Pennsylvania,Computer Science,MBA,Data Science,Philosophy,Product Manager,Adobe,Finance,5,"Docker, JavaScript, C++","IoT, Business Strategy"
Linda Johnson,2006,New York,"University of California, Berkeley",Computer Science,MBA,Artificial Intelligence,Statistics,Software Engineer,Adobe,Healthcare,2,"HTML, Docker, C++","Business Strategy, ML"
Bob Johnson,2019,New York,Harvard University,Electrical Engineering,BBA,Quantum Computing,Political Science,Product Manager,Intel,Healthcare,28,"Java, Keras, CSS","IoT, Blockchain"
Emily Scott,2024,San Antonio,Stanford University,Chemistry,B.Tech,Data Science,Psychology,Consultant,Intel,Finance,14,"React, CSS, AWS","ML, Robotics"
Jessica Scott,2016,San Jose,California Institute of Technology,Computer Science,MBA,Cybersecurity,History,DevOps Engineer,Apple,Technology,14,"Docker, Git, Kubernetes","Business Strategy, Robotics"
Bob Anderson,2007,San Antonio,University of Chicago,Computer Science,M.Tech,Quantum Computing,Law,Product Manager,Tesla,Healthcare,17,"Git, Python, Java","Quantum Computing, Renewable Energy"
Alice Brown,2017,Philadelphia,Columbia University,Chemistry,B.Sc,Business Analytics,Law,Research Scientist,Google,Finance,15,"AWS, React, HTML","IoT, ML"
David Johnson,2006,Los Angeles,Princeton University,Computer Science,B.Sc,Financial Engineering,History,Consultant,Amazon,Education,19,"Keras, TensorFlow, Kubernetes","Robotics, AI"
Robert Anderson,2022,San Diego,Harvard University,Economics,M.Tech,Robotics,Statistics,Marketing Manager,Amazon,Government,13,"Docker, CSS, C++","Data Science, IoT"
Alice Johnson,2016,San Jose,Harvard University,Business Administration,PhD,Financial Engineering,Philosophy,Operations Manager,Intel,Consulting,30,"Java, Kubernetes, C++","AI, Robotics"
